species,gradient_id,elevation_m,lat,lon,sampling_date
Acaena pinnatifida Ruiz & Pav.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Acaena pinnatifida Ruiz & Pav.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Acaena pinnatifida Ruiz & Pav.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Acaena pinnatifida Ruiz & Pav.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Acaena pinnatifida Ruiz & Pav.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Acaena pinnatifida Ruiz & Pav.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Acaena splendens Hook. & Arn.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia arachnipes Clos,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Adesmia capitellata (Clos) Hauman,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Adesmia capitellata (Clos) Hauman,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Adesmia coronilloides Gillies ex Hook. & Arn.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Adesmia coronilloides Gillies ex Hook. & Arn.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Adesmia coronilloides Gillies ex Hook. & Arn.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Adesmia exilis Clos,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Adesmia exilis Clos,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia exilis Clos,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Adesmia glomerula Clos,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Adesmia longiseta DC.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia longiseta DC.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Adesmia montana Phil.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Adesmia montana Phil.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia montana Phil.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Adesmia montana Phil.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Adesmia papposa (Lag.) DC. var. radicifolia (Clos) M.N. Correa,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Alstroemeria pallida Graham,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Anarthrophyllum gayanum (A. Gray) B.D. Jacks.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Anemone major (Phil.) F. Meigen,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Antennaria chilensis J. Remy var. chilensis,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Astragalus looseri I.M. Johnst.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Azorella madreporica Clos,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Azorella madreporica Clos,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Azorella madreporica Clos,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Azorella madreporica Clos,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Azorella monantha Clos,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Berberis empetrifolia Lam.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Berberis empetrifolia Lam.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Berberis empetrifolia Lam.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Berberis empetrifolia Lam.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Berberis empetrifolia Lam.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Bromus catharthicus var. catharthicus,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Bromus catharthicus var. catharthicus,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Bromus catharthicus var. catharthicus,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Bromus catharthicus var. catharthicus,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Bromus catharthicus var. catharthicus,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Bromus catharthicus var. catharthicus,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Bromus setifolius J. Presl var. setifolius,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Bromus setifolius J. Presl var. setifolius,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Bromus setifolius J. Presl var. setifolius,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Bromus setifolius J. Presl var. setifolius,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Bromus setifolius J. Presl var. setifolius,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Bromus setifolius J. Presl var. setifolius,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Bromus setifolius J. Presl var. setifolius,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Calceolaria arachnoidea Graham ,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Calceolaria arachnoidea Graham ,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Calceolaria arachnoidea Graham ,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Calceolaria arachnoidea Graham ,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Calceolaria corymbosa Ruiz & Pav. subsp. mimuloides (Clos) C. Ehrh.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Calopappus acerosus Meyen,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Calopappus acerosus Meyen,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Carex andina Phil.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Carex andina Phil.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Carex andina Phil.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Carex andina Phil.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Carex andina Phil.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Carex andina Phil.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Carex macloviana d'Urv.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Carex macloviana d'Urv.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Cerastium arvense L.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Cerastium arvense L.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Cerastium arvense L.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Cerastium arvense L.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Cerastium arvense L.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Cerastium arvense L.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Cerastium arvense L.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Cerastium arvense L.,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Cerastium arvense L.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Cerastium arvense L.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Cerastium arvense L.,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Chaetanthera euphrasioides (DC.) F. Meigen,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Chaetanthera linearis Poepp. ex Less.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Chaetanthera linearis Poepp. ex Less.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Chenopodium philippianum Aellen,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Chenopodium philippianum Aellen,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Chenopodium philippianum Aellen,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Chenopodium philippianum Aellen,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Chenopodium philippianum Aellen,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Chenopodium philippianum Aellen,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Chenopodium philippianum Aellen,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Chenopodium philippianum Aellen,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Chuquiraga oppositifolia D. Don,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Chuquiraga oppositifolia D. Don,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Chuquiraga oppositifolia D. Don,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Chuquiraga oppositifolia D. Don,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Chuquiraga oppositifolia D. Don,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Chuquiraga oppositifolia D. Don,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Collomia biflora (Ruiz & Pav.) Brand,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Collomia biflora (Ruiz & Pav.) Brand,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Collomia biflora (Ruiz & Pav.) Brand,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Collomia biflora (Ruiz & Pav.) Brand,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Convolvulus arvensis L.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Convolvulus demissus Choisy,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Cryptantha capituliflora (Clos) Reiche,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Cryptantha capituliflora (Clos) Reiche,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Cynoglossum creticum Mill.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Cynoglossum creticum Mill.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Cynoglossum creticum Mill.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Cynoglossum creticum Mill.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Draba gilliesii Hook. & Arn.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Draba gilliesii Hook. & Arn.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Ephedra chilensis C. Presl,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Ephedra chilensis C. Presl,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Ephedra chilensis C. Presl,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Erigeron andicola DC.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Erigeron andicola DC.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Erigeron andicola DC.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Erigeron andicola DC.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Erigeron andicola DC.,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Erigeron andicola DC.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Erigeron andicola DC.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Erigeron andicola DC.,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Erigeron andicola DC.,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Erigeron cinereus Hook. & Arn.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Erigeron cinereus Hook. & Arn.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Erigeron cinereus Hook. & Arn.,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Erodium cicutarium (L.) L'Hér. ex Aiton,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Erodium cicutarium (L.) L'Hér. ex Aiton,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Erodium cicutarium (L.) L'Hér. ex Aiton,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Euphorbia collina Phil.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Euphorbia collina Phil.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Euphorbia collina Phil.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Euphorbia collina Phil.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Euphorbia collina Phil.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Euphorbia collina Phil.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Euphorbia collina Phil.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Festuca magellanica Lam.,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Festuca magellanica Lam.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Galium gilliesii Hook. & Arn. ,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Galium gilliesii Hook. & Arn. ,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Galium gilliesii Hook. & Arn. ,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Gamocarpha compacta (Phil.) S.S. Denham & Pozner,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Gamocarpha compacta (Phil.) S.S. Denham & Pozner,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Gamocarpha scapigera (J. Rémy) S.S. Denham & Pozner,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Gamocarpha scapigera (J. Rémy) S.S. Denham & Pozner,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Gamocarpha scapigera (J. Rémy) S.S. Denham & Pozner,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Gamocarpha scapigera (J. Rémy) S.S. Denham & Pozner,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Gamocarpha scapigera (J. Rémy) S.S. Denham & Pozner,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Gayophytum humile A. Juss.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Haplopappus anthylloides Meyen & Walp.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Haplopappus anthylloides Meyen & Walp.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Haplopappus schumannii (Kuntze) G.K. Br. & W.D. Clark,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Haplopappus schumannii (Kuntze) G.K. Br. & W.D. Clark,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Haplopappus scrobiculatus (Nees) DC.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Haplopappus scrobiculatus (Nees) DC.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Haplopappus scrobiculatus (Nees) DC.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Haplopappus scrobiculatus (Nees) DC.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Haplopappus scrobiculatus (Nees) DC.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Haplopappus scrobiculatus (Nees) DC.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Heliotropium paronychioides A. DC.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Heliotropium paronychioides A. DC.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Hordeum comosum J. Presl,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Hordeum comosum J. Presl,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Hordeum comosum J. Presl,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Hordeum comosum J. Presl,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Hordeum comosum J. Presl,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Hordeum comosum J. Presl,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Hordeum comosum J. Presl,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Hordeum comosum J. Presl,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Hordeum comosum J. Presl,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Hordeum comosum J. Presl,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Hordeum comosum J. Presl,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Hordeum comosum J. Presl,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Hypochaeris clarionoides (J. Remy) Reiche,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Hypochaeris clarionoides (J. Remy) Reiche,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Hypochaeris clarionoides (J. Remy) Reiche,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Junellia spathulata (Gillies & Hook.) Moldenke,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Junellia uniflora (Phil.) Moldenke,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
"Koeleria barbinodis (Trin.) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
"Koeleria barbinodis (Trin.) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
"Koeleria barbinodis (Trin.) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
"Koeleria barbinodis (Trin.) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
"Koeleria preslii (Kunth) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
"Koeleria preslii (Kunth) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
"Koeleria preslii (Kunth) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
"Koeleria preslii (Kunth) Barberá, Quintanar, Soreng & P.M. Peterson",La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Lactuca serriola L.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Latace andina (Poepp.) Sassone,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Latace andina (Poepp.) Sassone,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Lepidium reichei Phil. ex Reiche,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Lepidium reichei Phil. ex Reiche,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Loasa caespitosa Phil.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Loasa caespitosa Phil.,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Loasa sigmoidea Urb. & Gilg,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Loasa sigmoidea Urb. & Gilg,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Loasa sigmoidea Urb. & Gilg,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Loasa sigmoidea Urb. & Gilg,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Luzula chilensis Nees & Meyen ex Kunth,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Luzula chilensis Nees & Meyen ex Kunth,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Luzula racemosa Desv.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Madia sativa Molina,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Madia sativa Molina,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Matricaria discoidea DC.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Melosperma andicola Benth.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Microsteris gracilis (Hook.) Greene,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Microsteris gracilis (Hook.) Greene,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Microsteris gracilis (Hook.) Greene,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Microsteris gracilis (Hook.) Greene,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Montiopsis andicola (Gillies) D.I. Ford,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Montiopsis andicola (Gillies) D.I. Ford,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Montiopsis cistiflora (Gillies ex Arn.) D.I. Ford,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Montiopsis gilliesii (Hook. & Arn.) D.I. Ford,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Montiopsis gilliesii (Hook. & Arn.) D.I. Ford,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Montiopsis gilliesii (Hook. & Arn.) D.I. Ford,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Montiopsis gilliesii (Hook. & Arn.) D.I. Ford,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Montiopsis gilliesii (Hook. & Arn.) D.I. Ford,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Montiopsis gilliesii (Hook. & Arn.) D.I. Ford,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Mutisia sinuata Cav.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Nardophyllum lanatum (Meyen) Cabrera,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Nardophyllum lanatum (Meyen) Cabrera,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Nassauvia aculeata (Less.) Poepp. & Endl. var. Aculeata,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Nassauvia axillaris (Lag. ex Lindl.) D. Don,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Nassauvia cumingii Hook. & Arn.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Nassauvia cumingii Hook. & Arn.,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Nassauvia cumingii Hook. & Arn.,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Nassauvia cumingii Hook. & Arn.,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Nassauvia lagascae (D. Don) F. Meigen var. lagascae,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Nassauvia lagascae (D. Don) F. Meigen var. lagascae,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Nassauvia lagascae (D. Don) F. Meigen var. lagascae,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Nassauvia lagascae (D. Don) F. Meigen var. lagascae,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Nassauvia looseri Cabrera,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Nassauvia looseri Cabrera,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Nassauvia looseri Cabrera,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Nassauvia looseri Cabrera,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
