RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER HERBS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
20856,TN24a,20070713,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946, LAVR,41,1,17,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58255556,52.39652778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20857,23,20010806,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,18,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68522222,53.82783333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20858,T79,20020723,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,19,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.8345,53.97311111,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,7,,,7,,,,,,,,,,,,70,,,,,,
20859,T87,20020725,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,20,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58166667,52.37483333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20860,T32,20020715,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,21,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.59527778,52.43333333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,9,,,9,,,,,,,,,,,,90,,,,,,
20861,D61,20010812,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,22,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58666667,52.42616667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,95,,,95,,,,,,,,,,,,95,,,,,,
20862,T70,20020721,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,23,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.82161111,54.25586111,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,9,,,9,,,,5,,,,,,,,90,,,,,,
20863,111,20010816,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,24,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.585,52.32,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20864,91,20010813,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,25,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.92283333,53.76294444,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20865,22,20010806,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,26,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.85469444,53.641,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20866,3,20010804,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,27,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83363889,53.97475,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20867,30,20010807,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,NM,41,1,28,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.82897222,53.99633333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,95,,,95,,,,,,,,,,,,95,,,,,,
20868,21,20010805,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,29,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83797222,53.97216667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20869,7,20010804,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,30,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83872222,53.94808333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,8,,,8,,,,1,,,,,,,,80,,,,,,
20870,17,20010805,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,31,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83266667,53.99866667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20871,4,20010804,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,32,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.84858333,53.90077778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20872,D63,20010812,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,33,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83180556,53.99511111,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20873,5,20010804,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OLNM,41,1,34,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.82075,54.2555,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,85,,,85,,,,,,,,,,,,85,,,,,,
20874,T31,20020715,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,35,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83222222,53.99277778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20875,T86,20020725,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,36,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58833333,52.42083333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,1,,,1,,,,,,,,,,,,100,,,,,,
20876,T74,20020722,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,OL,41,1,37,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.59527778,52.43333333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20877,TN25,20070713,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974, LAVR,41,3,1,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.585,52.33683333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20878,T76,20020722,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,2,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68527778,53.82777778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20879,T49,20020717,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,3,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.585,52.33566667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20880,T81,20020723,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,4,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20881,T56,20020718,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,5,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58833333,52.36583333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20882,T47,20020717,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,6,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20883,T6,20020712,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,7,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20884,T71,20020721,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,8,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58797222,52.36355556,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,,,,,,,,100,,,,,,
20885,T48,20020717,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,9,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.585,52.31966667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,,,,,,,,100,,,,,,
20886,T88,20020725,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,10,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.5875,52.36158333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,5,,,,,,,,100,,,,,,
20887,T33,20020715,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,11,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,90,,,90,,,,10,,,,,,,,90,,,,,,
20888,T34,20020715,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,12,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.59166667,52.43566667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,90,,,90,,,,10,,,,,,,,100,,,,,,
20889,T89,20020725,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,13,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.595,52.44016667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,90,,,90,,,,10,,,,,,,,100,,,,,,
20890,T35,20020715,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,14,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,1,,,,,,,100,,,,,,
20891,T36,20020715,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,15,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.60333333,52.4515,,,,,,,,NAT,,,,Y,,Y,1,1,0,5,,100,,,100,,,,1,1,,,,,,,100,,,,,,
20892,T95,20020727,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,16,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.60666667,52.45566667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,,,,,,,,100,,,,,,
20893,T77,20020722,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,17,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,,,,,,,,100,,,,,,
20894,T67,20020720,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974,OL,41,3,18,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58666667,52.3345,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,90,,,90,,,,10,,,,,,,,100,,,,,,
20895,TN27,20070713,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974, LAVR,41,3,19,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.60666667,52.44316667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,,,,,,,,100,,,,,,
20896,TN26,20070713,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974, LAVR,41,3,20,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68527778,53.82777778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,1,,,,,,,,100,,,,,,
20897,24,20010806,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OLNM,40,5,8,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68527778,53.82777778,,,,,,,,NAT,,,,Y,,Y,1,1,0,1,,90,,,90,,,,5,5,,,,,,,99,,,,,,
20898,59,20010811,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OLNM,40,5,9,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83525,53.97288889,,,,,,,,NAT,,,,Y,,Y,1,1,0,1,,80,,,80,,,,10,1,10,,,,,,100,,,,,,
20899,90n,20010813,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,NM,40,5,10,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83547222,53.97205556,,,,,,,,NAT,,,,Y,,Y,1,1,0,30,,80,,,80,,,,20,1,,,,,,,100,,,,,,
20900,57,20010811,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OLNM,40,5,7,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83197222,53.97302778,,,,,,,,NAT,,,,Y,,Y,1,1,0,50,,50,,,50,,,,20,,,,,,,,100,,,,,,
20901,100,20010816,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OL,40,5,11,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83844444,53.97311111,,,,,,,,NAT,,,,Y,,Y,1,1,0,30,,30,,,30,,,,20,1,5,,,,,,100,,,,,,
20902,52,20010811,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OLNM,40,5,12,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.93222222,53.78025,,,,,,,,NAT,,,,Y,,Y,1,1,0,40,,40,,,40,,,,20,5,20,,,,,,99,,,,,,
20903,51,20010811,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OLNM,40,5,13,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83175,53.99452778,,,,,,,,NAT,,,,Y,,Y,1,1,0,40,,40,,,40,,,,20,1,,,,,,,99,,,,,,
20904,46,20010810,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OLNM,40,5,14,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83283333,53.99002778,,,,,,,,NAT,,,,Y,,Y,1,1,0,35,,50,,,50,,,,5,5,5,,,,,,100,,,,,,
20905,64,20010812,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OL,40,5,15,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83808333,53.97316667,,,,,,,,NAT,,,,Y,,Y,1,1,0,35,,40,,,40,,,,1,10,20,,,,,,100,,,,,,
20906,T90,20020726,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OL,40,5,16,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.82016667,53.25616667,,,,,,,,NAT,,,,Y,,Y,1,1,0,60,,50,,,50,,,,30,5,,,,,,,100,,,,,,
20907,T84,20020724,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018,OL,40,5,17,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,20,,20,,,20,,,,50,5,,,,,,,100,,,,,,
20908,TN28,20070713,25,,2,,,,,B-B,Parnassio palustris-Salicetum reptantis (Matveyeva et Lavrinenko 2011) Lavrinenko et Lavrinenko 2018, LAVR,40,5,6,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68527778,53.82777778,,,,,,,,NAT,,,,Y,,Y,1,1,0,60,,20,,,20,,,,30,,,,,,,,100,,,,,,
