RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUBS (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER DWARF-SHRUBS (%),COVER HERBS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES (%),COVER LICHEN (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS ,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_DSHRUB,COV_HERBS ,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
21037,V41,20040811,25,,,N,,,,B-B,Tephroserido atropurpureaeñPolytrichetum stricti,OL, ,2,1,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.85361111,59.64305556,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,70,,,,70,30,,,,,,,100,,,,,,
21038,V42,20040811,25,,,N,,,,B-B,Tephroserido atropurpureaeñPolytrichetum stricti,OL,,2,2,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83638889,59.64361111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,60,,,,60,40,,,,,,,99,,,,,,
21039,V129,20100805,25,,,N,,,,B-B,Tephroserido atropurpureaeñPolytrichetum stricti,LAVR,,2,3,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83430556,59.50108333,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,1,15,,,,30,70,,,,,,,100,,,,,,
21040,V67,20040818,25,,,N,,,,B-B,Tephroserido atropurpureaeñPolytrichetum stricti,LAVR,,2,4,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83777778,59.62916667,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,30,,,,50,40,,,,,,,100,,,,,,
21041,V58,20040813,25,,,N,,,,B-B,Tephroserido atropurpureaeñPolytrichetum stricti,LAVR,,2,5,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.82027778,59.69083333,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,1,30,,,,50,50,,,,,,,100,,,,,,
21042,V61,20040814,25,,,N,,,,B-B,Tephroserido atropurpureaeñPolytrichetum stricti,LAVR,,2,6,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83416667,59.50111111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,1,30,,,,60,40,,,,,,,100,,,,,,
21043,107,20040707,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,7,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.16027778,59.23055556,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,5,,,,1,80,,,,,,,99,,,,,,
21044,71b,20050905,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,8,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Peschanka River basin in the downstream",,,Y,GPS,,69.11944444,49.93444444,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,30,15,,,,15,35,,,,,,,99,,,,,,
21045,26,20120806,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,9,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85158333,49.18527778,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,10,,,,10,70,,,,,,,99,,,,,,
21046,28,20120806,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,10,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85297222,49.18111111,,,,,,,,,,,,Y,Y,Y,1,1,0,2,,,,10,20,,,,30,60,,,,,,,98,,,,,,
21047,25,20120806,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,11,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85147222,49.18897222,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,25,,,,15,40,,,,,,,99,,,,,,
21048,35,20120807,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,12,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.87491667,49.24944444,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,30,20,,,,20,40,,,,,,,99,,,,,,
21049,37,20120808,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,13,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.8705,49.31169444,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,20,,,,20,70,,,,,,,99,,,,,,
21050,39,20120808,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,14,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.87005556,49.30305556,,,,,,,,,,,,Y,Y,Y,1,1,0,2,,,,30,20,,,,20,40,,,,,,,99,,,,,,
21051,47,20120810,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,15,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85066667,49.25308333,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,50,20,,,,50,30,,,,,,,99,,,,,,
21052,53,20120811,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,16,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.87261111,49.19861111,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,20,20,,,,40,40,,,,,,,100,,,,,,
21053,58,20120812,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,17,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.88247222,49.24144444,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,40,5,,,,50,20,,,,,,,90,,,,,,
21054,69,20120816,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,18,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.899,49.22111111,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,30,,,,50,30,,,,,,,100,,,,,,
21055,70b,20050905,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,19,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Peschanka River basin in the downstream",,,Y,GPS,,69.125,49.94111111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,30,20,,,,10,40,,,,,,,99,,,,,,
21056,K87,20070906,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,20,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Peschanka River basin in the downstream",,,Y,GPS,,69.17641667,49.9115,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,20,25,,,,35,35,,,,,,,100,,,,,,
21057,60,20030707,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,21,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.18138889,59.23472222,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,10,,,,5,85,,,,,,,100,,,,,,
21058,52,20030705,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,22,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.1775,59.23333333,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,5,,,,5,80,,,,,,,100,,,,,,
21059,55,20030706,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,23,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.18361111,59.22972222,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,5,,,,5,85,,,,,,,100,,,,,,
21060,59,20030707,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,24,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.18916667,59.23027778,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,20,5,,,,10,70,,,,,,,100,,,,,,
21061,54,20030705,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,25,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.18527778,59.26416667,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,10,5,,,,10,70,,,,,,,100,,,,,,
21062,50,20030705,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,26,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.185,59.26055556,,,,,,,,,,,,Y,Y,Y,1,1,0,25,,,,10,5,,,,20,60,,,,,,,100,,,,,,
21063,56,20030706,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,27,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.25416667,59.12416667,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,10,,,,10,80,,,,,,,100,,,,,,
21064,57,20030707,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,28,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.25277778,59.12361111,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,5,,,,5,85,,,,,,,100,,,,,,
21065,51,20030705,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. inops var. typicum ,LAVR,,2,29,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.17083333,59.23527778,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,10,5,,,,1,85,,,,,,,100,,,,,,
21066,D20,20060704,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,1,,,,RU,Oxycocco-Sphagnetea,,Svaytoi Nos Cape,,,Y,GPS,,67.8950833,48.6671944,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,10,,,,1,90,,,,,,,100,,,,,,
21067,KN34,20010808,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,2,,,,RU,Oxycocco-Sphagnetea,,Kuzneckiy Nos Cape,,,Y,GPS,,68.8206667,53.9845833,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,10,10,,,,5,90,,,,,,,100,,,,,,
21068,T122a,20110708,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,LAVR,,3,3,,,,RU,Oxycocco-Sphagnetea,,"Tobseda settlement, Kolokolkova Bay",,,Y,GPS,,68.6168333,52.47,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,15,,,,5,80,,,,,,,100,,,,,,
21069,KT82,20010812,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,4,,,,RU,Oxycocco-Sphagnetea,,Kuzneckoe-To Lake,,,Y,GPS,,68.8349444,53.9678611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,20,20,,,,1,90,,,,,,,100,,,,,,
21070,KT81,20010812,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,5,,,,RU,Oxycocco-Sphagnetea,,Kuzneckoe-To Lake,,,Y,GPS,,68.8711111,53.9787778,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,10,,,,1,90,,,,,,,100,,,,,,
21071,K13,20010805,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,6,,,,RU,Oxycocco-Sphagnetea,,Kuzneckiy Nos Cape,,,Y,GPS,,68.8421944,53.9033611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,5,,,,1,90,,,,,,,100,,,,,,
21072,K11,20010805,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,7,,,,RU,Oxycocco-Sphagnetea,,Kuzneckiy Nos Cape,,,Y,GPS,,68.8428333,53.9117778,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,5,,,,1,90,,,,,,,100,,,,,,
21073,K12,20010805,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,8,,,,RU,Oxycocco-Sphagnetea,,Kuzneckiy Nos Cape,,,Y,GPS,,68.8426944,53.9046111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,10,10,,,,10,85,,,,,,,100,,,,,,
21074,D66,20010812,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,9,,,,RU,Oxycocco-Sphagnetea,,Dolgii Island in Pechora Bay,,,Y,GPS,,68.8163056,54.2350278,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,10,,,,5,90,,,,,,,100,,,,,,
21075,pl16a,20060706,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,10,,,,RU,Oxycocco-Sphagnetea,,Svaytoi Nos Cape,,,Y,GPS,,67.9081667,48.6021944,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,15,,,,5,80,,,,,,,100,,,,,,
21076,T63,20020720,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. typicum,OL,,3,11,,,,RU,Oxycocco-Sphagnetea,,"Tobseda settlement, Kolokolkova Bay",,,Y,GPS,,68.6266667,52.4378333,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,15,,,,1,80,,,,,,,100,,,,,,
21077,TN5,20070711,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,12,,,,RU,Oxycocco-Sphagnetea,,Tonkiy Nos Cape,,,Y,GPS,,68.7175278,53.8455,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,30,,,,10,50,,,,,,,100,,,,,,
21078,TN1,20070710,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,13,,,,RU,Oxycocco-Sphagnetea,,Tonkiy Nos Cape,,,Y,GPS,,68.6896389,53.8360833,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,20,20,,,,15,70,,,,,,,100,,,,,,
21079,6_5a,19970705,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,14,,,,RU,Oxycocco-Sphagnetea,,Peschanka-To lake,,,Y,GPS,,68.7753611,53.2103333,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,20,5,,,,5,70,,,,,,,100,,,,,,
21080,T117,20110708,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,15,,,,RU,Oxycocco-Sphagnetea,,"Tobseda settlement, Kolokolkova Bay",,,Y,GPS,,68.6178056,52.4720833,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,5,5,,,,10,80,,,,,,,99,,,,,,
21081,T119,20110708,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,16,,,,RU,Oxycocco-Sphagnetea,,"Tobseda settlement, Kolokolkova Bay",,,Y,GPS,,68.6207222,52.4718056,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,10,15,,,,10,60,,,,,,,100,,,,,,
21082,9_2a,19980821,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,17,,,,RU,Oxycocco-Sphagnetea,,Peschanka-To lake,,,Y,GPS,,68.7718611,53.2291111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,15,15,,,,15,80,,,,,,,100,,,,,,
21083,9_12a,19980822,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,18,,,,RU,Oxycocco-Sphagnetea,,Peschanka-To lake,,,Y,GPS,,68.7586389,53.2041389,,,,,,,,,,,,Y,Y,Y,1,1,0,3,,,,20,10,,,,15,50,,,,,,,100,,,,,,
21084,TN18,20070713,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,19,,,,RU,Oxycocco-Sphagnetea,,Tonkiy Nos Cape,,,Y,GPS,,68.7069722,53.8217778,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,10,10,,,,1,80,,,,,,,100,,,,,,
21085,TN10,20070711,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,20,,,,RU,Oxycocco-Sphagnetea,,Tonkiy Nos Cape,,,Y,GPS,,68.7231389,53.8324722,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,20,,,,10,70,,,,,,,100,,,,,,
21086,TN11,20070711,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,21,,,,RU,Oxycocco-Sphagnetea,,Tonkiy Nos Cape,,,Y,GPS,,68.7208611,53.8347778,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,5,20,,,,10,80,,,,,,,100,,,,,,
21087,TN4,20070711,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,LAVR,,3,22,,,,RU,Oxycocco-Sphagnetea,,Tonkiy Nos Cape,,,Y,GPS,,68.7100833,53.8560278,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,40,5,,,,10,50,,,,,,,100,,,,,,
21088,D15,20060704,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. caricetosum rariflorae var. Ochrolechia frigida,OL,,3,23,,,,RU,Oxycocco-Sphagnetea,,Svaytoi Nos Cape,,,Y,GPS,,67.8893333,48.6515,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,5,,,,15,70,,,,,,,100,,,,,,
