RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUBS (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER DWARF-SHRUBS (%),COVER HERBS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES (%),COVER LICHEN (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
21089,2-Jun,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,1,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5513611,55.0081944,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21090,2-Jul,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,2,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5483889,55.0079444,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,60,10,,,,15,80,,,,,,,100,,,,,,
21091,Feb-32,20090722,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,3,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5670278,54.92575,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,40,,,,10,40,,,,,,,100,,,,,,
21092,F2.1,20100625,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,4,,,,RU,Oxycocco-Sphagnetea,,Kharyaga oilfield,,,Y,GPS,,67.0341944,56.8816667,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,30,5,,,,5,70,,,,,,,100,,,,,,
21093,VT3,20030809,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,5,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0201944,53.1279444,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,10,,,,5,65,,,,,,,100,,,,,,
21094,VT4,20030809,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,6,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0206389,53.1310556,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,10,,,,1,85,,,,,,,100,,,,,,
21095,VT10,20030810,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,7,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0109167,53.1352222,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,10,,,,10,75,,,,,,,100,,,,,,
21096,VT5,20030809,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,8,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0134444,53.1312778,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,5,,,,5,80,,,,,,,100,,,,,,
21097,VT23,20030812,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,9,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0143611,53.1385833,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,5,,,,5,80,,,,,,,100,,,,,,
21098,VT80,20030813,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,10,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0161389,53.1205556,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,5,5,,,,1,90,,,,,,,100,,,,,,
21099,VT27,20030813,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,11,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.018,53.12125,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,10,,,,5,80,,,,,,,100,,,,,,
21100,VT82,20030813,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,12,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0104722,53.1252222,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,20,,,,5,75,,,,,,,100,,,,,,
21101,Feb-84,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,13,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5515278,55.0100833,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,50,,,,15,65,,,,,,,100,,,,,,
21102,Feb-85,20090720,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,14,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5668889,54.9761944,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,50,,,,20,60,,,,,,,100,,,,,,
21103,C94,20060701,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,OL,,5,15,,,,RU,Oxycocco-Sphagnetea,,Bolíshaja Mutnaja river basin,,,Y,GPS,,67.5959444,49.4699722,,,,,,,,,,,,Y,Y,Y,1,1,0,20,,,,30,5,,,,20,40,,,,,,,100,,,,,,
21104,O23,20080716,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,16,,,,RU,Oxycocco-Sphagnetea,,Oshskoye oilfield,,,Y,GPS,,67.0616111,56.6433889,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,20,60,,,,20,50,,,,,,,99,,,,,,
21105,O8,20080713,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,17,,,,RU,Oxycocco-Sphagnetea,,Oshskoye oilfield,,,Y,GPS,,67.0333611,56.6882222,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,40,40,,,,10,50,,,,,,,100,,,,,,
21106,F2.3,20100625,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,18,,,,RU,Oxycocco-Sphagnetea,,Kharyaga oilfield,,,Y,GPS,,67.0354722,56.8825278,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,15,30,,,,1,70,,,,,,,100,,,,,,
21107,Feb-81,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,19,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5679167,54.9293611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21108,A18,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,20,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.4849167,51.3273889,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21109,2-Aug,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,21,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5520833,55.0106389,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21110,Feb-31,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,22,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5656389,54.9749444,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21111,Feb-33,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,23,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5686111,54.9368889,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21112,VT22,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,24,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0158056,53.1332778,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21113,Feb-83,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,25,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5495,55.008,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21114,Feb-82,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,26,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5505278,55.0091944,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21115,6_3O,20090719,25,,,N,,,,B-B,Carici globularisñPleurozietum schreberi,LAVR,,5,27,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.4734167,59.6768611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,10,,,,5,80,,,,,,,100,,,,,,
21116,3,20080829,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,1,,,,RU,Oxycocco-Sphagnetea,,Belaja river basin,,,Y,GPS,,67.2998889,48.9916944,,,,,,,,,,,,Y,Y,Y,1,1,0,25,,,,15,2,,,,25,30,,,,,,,95,,,,,,
21117,C100,20060702,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,2,,,,RU,Oxycocco-Sphagnetea,,Bolíshaja Mutnaja river basin,,,Y,GPS,,67.5826389,49.5275,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,30,10,,,,5,40,,,,,,,99,,,,,,
21118,B37,20060626,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,3,,,,RU,Oxycocco-Sphagnetea,,Lysuteyto Lake,,,Y,GPS,,67.5296111,50.39675,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,60,5,,,,5,30,,,,,,,95,,,,,,
21119,B31,20060625,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,4,,,,RU,Oxycocco-Sphagnetea,,Lysuteyto Lake,,,Y,GPS,,67.5260833,50.4473611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,20,5,,,,10,60,,,,,,,95,,,,,,
21120,A3,20060622,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,5,,,,RU,Oxycocco-Sphagnetea,,Maloe Leysato Lake,,,Y,GPS,,67.4952778,51.1515556,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,50,5,,,,5,50,,,,,,,99,,,,,,
21121,A13,20060622,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,6,,,,RU,Oxycocco-Sphagnetea,,Maloe Leysato Lake,,,Y,GPS,,67.4914722,51.1614167,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,50,5,,,,20,20,,,,,,,95,,,,,,
21122,KN18,19980803,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,7,,,,RU,Oxycocco-Sphagnetea,,Korovinskoe oilfield,,,Y,GPS,,68.3626389,53.2956667,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,35,10,,,,30,60,,,,,,,100,,,,,,
21123,8_1a,19980815,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,8,,,,RU,Oxycocco-Sphagnetea,,Nenets ridge,,,Y,GPS,,68.3159444,53.1455278,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,40,10,,,,5,40,,,,,,,100,,,,,,
21124,8_3a,19980816,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,9,,,,RU,Oxycocco-Sphagnetea,,Nenets ridge,,,Y,GPS,,68.33625,53.0570833,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,35,50,,,,30,40,,,,,,,100,,,,,,
21125,VT18,20030811,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,10,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,67.9952222,53.1156667,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,30,20,,,,10,40,,,,,,,99,,,,,,
21126,5_18a,19970701,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,11,,,,RU,Oxycocco-Sphagnetea,,Bolvansky Peninsula,,,Y,GPS,,68.07475,54.3259722,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,20,10,,,,10,50,,,,,,,100,,,,,,
21127,10_12,19990630,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,OL,,4,12,,,,RU,Oxycocco-Sphagnetea,,Ortina river basin,,,Y,GPS,,67.8235,54.0019722,,,,,,,,,,,,Y,Y,Y,1,1,0,3,,,,20,5,,,,5,50,,,,,,,80,,,,,,
21128,Feb-19,20090729,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,13,,,,RU,Oxycocco-Sphagnetea,,Severnaja river basin,,,Y,GPS,,67.6360556,53.9485833,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,7,,,,15,50,,,,,,,99,,,,,,
21129,2-Oct,20090722,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,14,,,,RU,Oxycocco-Sphagnetea,,Shapkina river basin,,,Y,GPS,,67.5670833,54.9258056,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,50,15,,,,10,60,,,,,,,99,,,,,,
21130,F1.4,20100707,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,15,,,,RU,Oxycocco-Sphagnetea,,North-Kharyaga oilfield,,,Y,GPS,,67.5371944,56.2671111,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,25,5,,,,20,40,,,,,,,99,,,,,,
21131,F2.2,20100713,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,16,,,,RU,Oxycocco-Sphagnetea,,Leck-Kharyaga oilfield,,,Y,GPS,,67.3203889,56.6324444,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,45,10,,,,5,60,,,,,,,99,,,,,,
21132,O12,20080714,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,17,,,,RU,Oxycocco-Sphagnetea,, Oshskoye oilfield,,,Y,GPS,,67.0706944,56.6591389,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,25,5,,,,1,70,,,,,,,99,,,,,,
21133,O26,20080717,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,18,,,,RU,Oxycocco-Sphagnetea,, Oshskoye oilfield,,,Y,GPS,,67.0081111,56.6778611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,70,10,,,,10,40,,,,,,,99,,,,,,
21134,B3.1,20100720,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,19,,,,RU,Oxycocco-Sphagnetea,,East-Kharyaga oilfield,,,Y,GPS,,67.1847222,56.92,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,45,1,,,,5,65,,,,,,,99,,,,,,
21135,F1.1,20100721,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,20,,,,RU,Oxycocco-Sphagnetea,,East-Kharyaga oilfield,,,Y,GPS,,67.1803333,56.8656389,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,5,,,,10,60,,,,,,,100,,,,,,
21136,F4,20070728,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,21,,,,RU,Oxycocco-Sphagnetea,,Musyurshorskoe oilfield,,,Y,GPS,,67.2718333,57.6034722,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,25,7,,,,1,60,,,,,,,100,,,,,,
21137,ShF1,19050629,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,22,,,,RU,Oxycocco-Sphagnetea,,Shorsandiveyskoe oilfield,,,Y,GPS,,67.1855556,57.7604722,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,40,30,,,,25,50,,,,,,,100,,,,,,
21138,K1.2,20110811,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,23,,,,RU,Oxycocco-Sphagnetea,,Sandiveyskoe oilfield,,,Y,GPS,,66.9666111,58.2391667,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,60,20,,,,15,60,,,,,,,98,,,,,,
21139,F1.2,20110809,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,24,,,,RU,Oxycocco-Sphagnetea,,Salyukinskoe oilfield,,,Y,GPS,,66.8840278,58.9054444,,,,,,,,,,,,Y,Y,Y,1,1,0,30,,,,50,20,,,,20,50,,,,,,,98,,,,,,
21140,F2.4,20100701,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,25,,,,RU,Oxycocco-Sphagnetea,,Kolvinskoe oilfield,,,Y,GPS,,67.4171944,59.4609167,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,60,40,,,,20,30,,,,,,,100,,,,,,
21141,ZO20,20120901,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. Ochrolechia frigida,LAVR,,4,26,,,,RU,Oxycocco-Sphagnetea,,West-Osoveyskoe oilfield,,,Y,GPS,,67.5244167,59.7175,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,50,10,,,,5,60,,,,,,,100,,,,,,
21142,B25,20060625,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,OL,,4,27,,,,RU,Oxycocco-Sphagnetea,,Lysuteyto Lake,,,Y,GPS,,67.5539167,54.8851944,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,40,5,,,,10,40,,,,,,,95,,,,,,
21143,KN13,19980729,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,28,,,,RU,Oxycocco-Sphagnetea,,Korovinskoe oilfield,,,Y,GPS,,67.5263889,50.4070833,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,7,,,,15,60,,,,,,,100,,,,,,
21144,S2,20070716,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,29,,,,RU,Oxycocco-Sphagnetea,,Sanev Isl.,,,Y,GPS,,68.3622222,53.3055556,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,5,,,,15,60,,,,,,,100,,,,,,
21145,L3,20070706,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,30,,,,RU,Oxycocco-Sphagnetea,,Lovetskiy Isl.,,,Y,GPS,,68.3772222,53.6638333,,,,,,,,,,,,Y,Y,Y,1,1,0,5,,,,10,10,,,,5,80,,,,,,,100,,,,,,
21146,L25,20070709,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,31,,,,RU,Oxycocco-Sphagnetea,,Lovetskiy Isl.,,,Y,GPS,,68.3578889,53.9599167,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,10,5,,,,5,85,,,,,,,100,,,,,,
21147,15_B38,19990722,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,32,,,,RU,Oxycocco-Sphagnetea,,Bolvansky Nos Cape,,,Y,GPS,,68.3183333,53.91475,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,35,15,,,,10,60,,,,,,,100,,,,,,
21148,15_M10,19990726,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,33,,,,RU,Oxycocco-Sphagnetea,,Bolvansky Nos Cape,,,Y,GPS,,68.2916667,54.5055556,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,25,10,,,,15,40,,,,,,,100,,,,,,
21149,VT6,20030809,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,34,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.2936111,54.5118056,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,10,,,,5,75,,,,,,,100,,,,,,
21150,VT15,20030810,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,35,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0216389,53.1501111,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,40,1,,,,5,50,,,,,,,100,,,,,,
21151,VT16,20030811,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,36,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0080278,53.1313889,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,5,,,,1,90,,,,,,,100,,,,,,
21152,VT13,20030810,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,37,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0058889,53.1151111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,2,,,,1,95,,,,,,,100,,,,,,
21153,VT1,20030808,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,38,,,,RU,Oxycocco-Sphagnetea,,Volosechnye tundras,,,Y,GPS,,68.0056944,53.13925,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,5,,,,1,90,,,,,,,100,,,,,,
21154,Feb-16,20090728,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,39,,,,RU,Oxycocco-Sphagnetea,,Severnaja river basin,,,Y,GPS,,68.0053889,53.1168611,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,20,10,,,,20,60,,,,,,,100,,,,,,
21155,K1.1,20100724,25,,,N,,,,B-B,Rubo chamaemoriñDicranetum elongati subass. typicum var. typicum,LAVR,,4,40,,,,RU,Oxycocco-Sphagnetea,,Kharyaga oilfield,,,Y,GPS,,67.6493333,54.0312778,,,,,,,,,,,,Y,Y,Y,1,1,0,10,,,,30,10,,,,5,70,,,,,,,100,,,,,,
